id,zh,en
dream_board_nw_title,梦境 - 西北,Dream - Northwest
dream_board_w_title,梦境 - 西,Dream - West
dream_board_sw_title,梦境 - 西南,Dream - Southwest
dream_board_s_title,梦境 - 南,Dream - South
dream_board_se_title,梦境 - 东南,Dream - Southeast
dream_board_e_title,梦境 - 东,Dream - East
dream_board_ne_title,梦境 - 东北,Dream - Northeast
dream_board_n_title,梦境 - 北,Dream - North
dream_board_center_title,梦境 - 中心,Dream - Center
dream_board_nw_desc,这里什么都没有，混沌一片。,Nothing around here. Full of vague.
dream_board_w_desc,这里什么都没有，混沌一片。,Nothing around here. Full of vague.
dream_board_sw_desc,这里什么都没有，混沌一片。,Nothing around here. Full of vague.
dream_board_s_desc,这里什么都没有，混沌一片。,Nothing around here. Full of vague.
dream_board_se_desc,这里什么都没有，混沌一片。,Nothing around here. Full of vague.
dream_board_e_desc,这里什么都没有，混沌一片。,Nothing around here. Full of vague.
dream_board_ne_desc,这里什么都没有，混沌一片。,Nothing around here. Full of vague.
dream_board_n_desc,这里什么都没有，混沌一片。,Nothing around here. Full of vague.
dream_board_center_desc,模模糊糊，混沌一片。,Indistinction. Full of vague.
