id,zh,en
npc_dog,二狗,Silly dog
npc_little_boy,小男孩,Little boy
npc_dog_desc,这是一只傻狗。,This is a silly dog.
npc_little_boy_desc,这是一个小男孩。,This is a little boy.
self_npc_dog_desc,你是一只傻狗。,You are a silly dog.
self_npc_little_boy_desc,你是一个小男孩。,You are a little boy.
sb_manager,SB管理员,SB manager
sb_manager_desc,这位是SB管理员负责管理SB服务器日常事务~n输入 `ask sb_manager about 注册` 来注册/查看帐号密码,This is SB manager for maintaining SB server affairs~nType `ask sb_manager about register` for registering/checking SB account and password
npc_little_girl,小女孩,Little girl
npc_little_girl_desc,这是一个小女孩。,This is a little girl.
self_npc_little_girl_desc,你是一个小女孩。,You are a little girl.
bilibili_manager,BILIBILI管理员,BILIBILI manager
bilibili_manager_desc,这位是BILIBILI管理员负责管理你的BILIBILI日常事务~n输入 `ask bilibili_manager about help` 查看帮助,This is BILIBILI manager for maintaining your BILIBILI affairs~nType `ask bilibili_manager about help` for help
