id,zh,en
select_lang,SB服务器欢迎您~nSB Server welcomes you!~n请选择语言:~nPlease select language:~n中文 - zh~nEnglish - en,SB服务器欢迎您~nSB Server welcomes you!~n请选择语言:~nPlease select language:~n中文 - zh~nEnglish - en
gender_label,性别: ,Gender: 
born_month_label,出生月份: ,Born month: 
please_input_gender,请输入角色的性别:~n(男-m / 女-f),Please input gender:~n(Male-m / Female-f)
invalid_gender,无效性别: ,Invalid gender: 
please_input_born_month,请选择1至12任意一个数字:~n(1 - 12),Please input arbitrary number from 1 to 12:~n(1 - 12)
invalid_month,无效数字: ,Invalid number: 
is_confirmed,确定吗? (y / n),Confirm? (y / n)
welcome_join,欢迎加入!,Welcome join!
male,男,Male
female,女,Female
invalid_id,无效身份编号: ,Invalid identity: 
please_input_id,请输入身份编号~n(6 - 10位~n英文字母或数字):,Please input identity~n(6 - 10 digits of~nalphabet or  number):
id_label,身份编号: ,Identity: 
id_already_exists,身边编号已存在。,Identity already exists.
